Place_of_residence_partner_man,Place_of_birth_partner_man,Age_partner_man,Monthly_income_partner_man_weight,Occupation_partner_man,Place_of_birth_partner_woman,Age_partner_woman,Place_of_residence_partner_woman,Occupation_partner_woman,Monthly_income_partner_woman_weight,Level_of_education_partner_man,Level_of_education_partner_woman,Custody
CEMPOALA,TEHUACAN,24,3200,PHYTOTHERAPIST,MOUNT OBSCURO,48,TIJUANA,ACTRESS,7100,PREPARATORY,WITHOUT SCHOOLING,DAD
TEJEDA SHRIMP,VERACRUZ,62,750000,PRIVATE DOCTOR,SOLTEPEC,27,CHAVARRILLO,PRESCHOOL TEACHER,8400,PREPARATORY,OTHER,OTHER
VALLEY CITY,ITURBIDE,25,9700,POLICE OFFICER,SAN ANTONIO,72,HUATUSCO,SINGER,750,PRIMARY,OTHER,DAD
COATEPEC,XALAPA - ENRIQUEZ,30,18000,DOCTOR,XALAPA-ENRIQUEZ,27,COATEPEC,HOUSEWIFE,5800,PROFESSIONAL,PREPARATORY,MOTHER
PILETS,OJITAL,25,15020,TECHNICAL RADIO,ALMANZA,32,HUATUSCO,RECEPTIONIST,6500,OTHER,PREPARATORY,DAD
XALAPA-ENRIQUEZ,SAN ANDRES TUXTLA,37,30000,ING.,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,LICENSED,8000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,50,14000,EMPLOYEE,THE KINGS,44,XALAPA-ENRIQUEZ,EMPLOYEE,9000,PROFESSIONAL,PREPARATORY,MOTHER
HUATUSCO,CORDOVA,20,12060,WELDER,TLALTIZAPAN,60,AZCAPOTZALCO,DEMONSTRATOR,10800,PROFESSIONAL,PREPARATORY,DAD
SOLITUDE OF BENDING,KILLS DARK,20,1500,STYLIST,COFFEE PLANTATION,17,THE TREASURE,PHOTOGRAPHER,8500,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,1600,EMPLOYEE,THE BEAMS,32,XALAPA-ENRIQUEZ,TEACHER,4000,HIGH SCHOOL,PROFESSIONAL,MOTHER
IZTACALCO,MEXICO,77,1900,SIGHTSEEING,THE CONCEPTION,58,ECATEPEC,PAINTER,6647,PRIMARY,PREPARATORY,DAD
NETZAHUALCOYOTL CITY,TECUANTIPAN,53,3000,MECHANICAL,JUCHITAN,64,NUEVO LAREDO,COSMETOLOGY,2400,HIGH SCHOOL,PRIMARY,DAD
THE LINGERIE,XALAPA - ENRIQUEZ,64,20000,ACCOUNTANT,XALAPA-ENRIQUEZ,50,XALAPA-ENRIQUEZ,RETIRED,21000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,8000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,Accountant,6000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
THE CHOAPAS,CHICONTEPEC,68,8500,MARKETER,CHICONTEPEC,67,ACATLAN,RECEPTIONIST,6200,OTHER,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,6000,TEACHER,XALAPA-ENRIQUEZ,30,XALAPA-ENRIQUEZ,DOCTOR,11000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,THE LINGERIE,66,937,RETIRED,XALAPA-ENRIQUEZ,59,XALAPA-ENRIQUEZ,RETIRED,6000,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,VILLA EMILIANO ZAPATA,59,9300,EMPLOYEE,TLACOLULAN,61,XALAPA-ENRIQUEZ,HOUSEWIFE,7900,HIGH SCHOOL,PREPARATORY,DAD
ECATEPEC,THE GLORY,91,14000,SALES MANAGER,ESTIPAC,33,REFORM,PEDAGOGUE,9800,PROFESSIONAL,PROFESSIONAL,DAD
BAJA CALIFORNIA,MINATITLAN,73,8400,TAILOR,THE GARDEN,27,MEDELLIN DE BRAVO,ING. CHEMICAL,2800,OTHER,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,8500,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PREPARATORY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,HAVANA,32,40000,EMPLOYEE,XALAPA-ENRIQUEZ,24,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,3000,EMPLOYEE,THE CASTLE,35,THE CASTLE,HOME DUTIES,30000,PROFESSIONAL,PREPARATORY,DAD
OLD PACHO,CARLOS A. CARRILLO,27,2400,OPHTHALMOLOGIST,CUAUTLAPAM,42,REFORM,Sociologist,3800,PRIMARY,PROFESSIONAL,OTHER
MEDELLIN DE BRAVO,TAMPICO,33,10000,BUSINESSMAN,WHITE LAND,44,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,ITZICTIC,28,2400,EMPLOYEE,MARTINEZ DE LA TORRE,26,XALAPA-ENRIQUEZ,EMPLOYEE,5500,PREPARATORY,PREPARATORY,DAD
XALAPA-ENRIQUEZ,MISANTLA,58,2280,GRADUATE,XALAPA-ENRIQUEZ,52,XALAPA-ENRIQUEZ,EMPLOYEE,22000,PROFESSIONAL,PROFESSIONAL,MOTHER
ZACATACAS,COLORADO,49,9500,PUBLIC EMPLOYEE,OLD RANCH,20,TLALNELHUAYOCAN,COSMETOLOGY,301740,PRIMARY,PRIMARY,OTHER
BANDERILLA,XALAPA - ENRIQUEZ,38,937,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,EMPLOYEE,3000,HIGH SCHOOL,PROFESSIONAL,MOTHER
MINATITLAN,PURUANDIRO,37,2200,GENERAL DOCTOR,RIO BEACHES,28,CHICONTEPEC,ANALYST,10400,PROFESSIONAL,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,NEW EARTH,30,1200,EMPLOYEE,ACAYUCAN,26,XALAPA-ENRIQUEZ,ARCHITECT,8000,PRIMARY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,58,8000,EMPLOYEE,XALAPA-ENRIQUEZ,53,XALAPA-ENRIQUEZ,EMPLOYEE,7000,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,MARTINEZ DE LA TORRE,32,18129,EMPLOYEE,XALAPA-ENRIQUEZ,27,XALAPA-ENRIQUEZ,EMPLOYEE,3500,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,11000,EMPLOYEE,ALVARADO,27,XALAPA-ENRIQUEZ,EMPLOYEE,4000,PROFESSIONAL,PROFESSIONAL,DAD
TLALPAN,OMEALCA,26,8000,ADMINISTRATIVE,COWBOY SLOPE,46,TEQUISQUIAPAN,PUBLISHER,6647,HIGH SCHOOL,HIGH SCHOOL,OTHER
RINCONADA,DIAZ LOCKS,52,1350,CRAFTSMAN,CHAPULTEPEC,65,COATZINTLA,DANCER,10050,HIGH SCHOOL,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,JUAN MARCOS,49,8000,EMPLOYEE,JUAN MARCOS,45,XALAPA-ENRIQUEZ,HOUSEWIFE,14500,PRIMARY,WITHOUT SCHOOLING,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,65000,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,18000,PROFESSIONAL,PROFESSIONAL,MOTHER
PEACE,STEP LIMON,36,1500,CLINICAL CHEMICAL,TWO RIVERS,66,TLALIXCOYAN,DENTIST,6000,PRIMARY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,JUAN DIAZ COVARRUBIAS,46,28000,EMPLOYEE,FEDERAL DISTRICT,39,XALAPA-ENRIQUEZ,BODY THERAPIST,3500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,ALTOTONGA,26,5000,MUSICIAN,ORIZABA,28,XALAPA-ENRIQUEZ,MUSICIAN,5000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,RICH POOL,41,3000,EMPLOYEE,SWEET WATER,41,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
ALVARADO,REAL DEL MONTE,76,10679,AGENT,SAN JOSE ALCHICHICA,59,BOCHIL,DRIVER,28000,PROFESSIONAL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,SAN JOSE BUENA VISTA,31,70000,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,HOUSEWIFE,6500,PRIMARY,HIGH SCHOOL,MOTHER
JUCHIQUE DE FERRER,COXQUIHUI,29,5800,WELDER,CITY SERDAN,65,THE TREASURE,MILITARY NURSE,4800,WITHOUT SCHOOLING,PROFESSIONAL,OTHER
PUEBLA,FEDERAL DISTRICT,57,16000,VET,FEDERAL DISTRICT,56,XALAPA-ENRIQUEZ,DENTIST,20000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,44,5000,FEDERAL EMPLOYEE,GOOD VIEW,38,XALAPA-ENRIQUEZ,BUSINESSMAN,6000,PROFESSIONAL,PREPARATORY,DAD
THE CHOAPAS,MOZOMBOA,66,5250,ACADEMIC,TLACOTALPAN,75,SAN MARCOS,CONSULTANT,44000,WITHOUT SCHOOLING,PRIMARY,DAD
HUATUSCO,TOPILITOS OF ZARAGOZA,68,3700,DECORATOR,SAN CRISTÓBAL DE LAS CASAS,45,MORELIA,INSTRUCTOR,10300,PRIMARY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TEZIUTLAN,43,5000,DENTAL SURGEON,FEDERAL DISTRICT,40,XALAPA-ENRIQUEZ,PROFESSOR,5000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,58,6800,ARCHITECT,XALAPA-ENRIQUEZ,53,XALAPA-ENRIQUEZ,DOCTOR,12000,PROFESSIONAL,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,37,33000,ADVISER,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,PROMOTION GIRL,9800,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,34,10000,EMPLOYEE,XALAPA-ENRIQUEZ,37,XALAPA-ENRIQUEZ,EMPLOYEE,5500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,COATEPEC,36,5000,BUSINESSMAN,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
MONTERREY,TEHUACAN,68,412362,LIC. IN EDUCATION,POTRERO DEL LLANO,43,SALTILLO,SINGER,3400,OTHER,HIGH SCHOOL,DAD
TANTOYUCA,TANTOYUCA,25,7000,EMPLOYEE,XALAPA-ENRIQUEZ,23,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PROFESSIONAL,MOTHER
THE SPINAL,JOSE CARDEL,28,33000,AGRONOMIST,THE SIMENTAL,36,SAN ANDRES TUXTLA,VIGILANT,100,PREPARATORY,OTHER,OTHER
CHAVARRILLO,COMMITTEE,31,550,MENTOR,CAPE VERDE,77,OLD PACHO,LIC. IN COMMUNICATION,700,PROFESSIONAL,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,6000,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,BUSINESSWOMAN,8000,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,26937,ARCHITECT,SANTIAGO TUXTLA,37,SANTIAGO TUXTLA,BUSINESSMAN,10,PROFESSIONAL,PROFESSIONAL,MOTHER
CUAUHTEMOC,CHICOMAPA,76,23000,DANCER,COSAUTLAN,57,ALVARADO,CHEMISTRY,9000,PREPARATORY,WITHOUT SCHOOLING,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,33,14000,EMPLOYEE,CORDOVA,26,XALAPA-ENRIQUEZ,STUDENT,6638,PROFESSIONAL,HIGH SCHOOL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,54,10000,EMPLOYEE,TUXPAN,56,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PROFESSIONAL,PROFESSIONAL,OTHER
UNI√ìN VENUSTIANO CARRANZA,CABORCA,48,8500,INDUSTRIAL,MOUNT OBSCURO,20,BUT,TECHNICAL,1000,PREPARATORY,OTHER,DAD
VALLARTA PORT,THE UNION,20,183000,UNEMPLOYED,COLOGNE REFORM,59,MELCHOR OCAMPO,STYLIST,301740,HIGH SCHOOL,PRIMARY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,30,2900,TEACHER,RICH POOL,33,RICH POOL,BROKER,24000,PROFESSIONAL,OTHER,MOTHER
XALAPA-ENRIQUEZ,JUCHIQUE DE FERRER,36,9246,EMPLOYEE,XALAPA-ENRIQUEZ,33,XALAPA-ENRIQUEZ,EMPLOYEE,2400,PRIMARY,HIGH SCHOOL,MOTHER
RAFAEL LUCIO,PALMA SOLA,26,400,INSURANCE AGENT,SAN CRISTOBAL HIDALGO,68,CHETUMAL,ACADEMIC,85000,PREPARATORY,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,37,7000,EMPLOYEE,JUAREZ CITY,36,XALAPA-ENRIQUEZ,EMPLOYEE,10000,PROFESSIONAL,PROFESSIONAL,OTHER
PALMA SOLA,FRESNILLO,57,800,WORKER,MARTINIQUE,36,REEDBED,RETIRED TEACHER,12500,OTHER,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,GOMEZ PALACIO,56,5000,ING. AGRONOMIST,FIG,44,XALAPA-ENRIQUEZ,BUSINESSMAN,10000,PROFESSIONAL,PREPARATORY,MOTHER
COATEPEC,XALAPA - ENRIQUEZ,25,75000,UNEMPLOYED,FEDERAL DISTRICT,30,XALAPA-ENRIQUEZ,BUSINESSWOMAN,1550,PROFESSIONAL,PROFESSIONAL,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,35,2200,EMPLOYEE,MADERO CITY,27,XALAPA-ENRIQUEZ,EMPLOYEE,2000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XICO,53,4000,BUSINESSMAN,XALAPA-ENRIQUEZ,68,TLALNELHUAYOCAN,HOUSEWIFE,9600,PRIMARY,PRIMARY,DAD
THE BOY,COATEOEC,28,1600,DENTIST,OTUMBA,69,VILLA INDEPENDENCIA,MUSICIAN,10400,WITHOUT SCHOOLING,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,29,4000,DRIVER,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,HOME DUTIES,300,PRIMARY,HIGH SCHOOL,MOTHER
CHETULAM,ALVARO OBREGON,26,10000,EMPLOYEE,TLAPACOYAN,26,XALAPA-ENRIQUEZ,EMPLOYEE,6000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,22,4400,EMPLOYEE,XALAPA-ENRIQUEZ,20,XALAPA-ENRIQUEZ,EDUCATOR,2000,PREPARATORY,PROFESSIONAL,OTHER
GRILLA DEL MONTE,TEPEYCAN,19,28000,TELEPHONIST,CHAVARRILLO,57,BUT,BIOLOGICAL PHARMACEUTICAL CHEMISTRY,5198,PREPARATORY,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,23,2000,EMPLOYEE,XALAPA-ENRIQUEZ,21,XALAPA-ENRIQUEZ,EMPLOYEE,2000,HIGH SCHOOL,PREPARATORY,MOTHER
ATLACOMULCO,ACAYUCAN,44,6228,LIC. COMPUTING,LION,46,TEQUISQUIAPAN,COSMIATRIA,5200,WITHOUT SCHOOLING,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,RICH POOL,39,12000,EMPLOYEE,XALAPA-ENRIQUEZ,32,XALAPA-ENRIQUEZ,HOME DUTIES,2900,PREPARATORY,PRIMARY,MOTHER
CHICONTEPEC,COYOACAN,32,11309,SIGNWRITER,SAO PAULO,64,ALVARADO,SECRETARY,70000,PRIMARY,WITHOUT SCHOOLING,OTHER
TLACOTALPAN,SAINT JOHN BAPTIST,58,2300,INSURANCE AGENT,COMALCALCO,33,LAKE HUART,TEACHER,7500,PRIMARY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,24,2000,EMPLOYEE,METLALTOYUCA,26,XALAPA-ENRIQUEZ,LIC. IN NUTRITION,3000,PRIMARY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,9000,EMPLOYEE,CHILPANCINGO,31,EL CARMEN,EMPLOYEE,7500,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,HUETAMO,36,2280,EMPLOYEE,GREEN LAGOON,36,XALAPA-ENRIQUEZ,HOME DUTIES,20000,PREPARATORY,PREPARATORY,DAD
ECATEPEC,OTATES,72,7130,DOCTOR,YERBA TABLE,76,THE TRANCAS,REPORTER,17600,PRIMARY,OTHER,MOTHER
COATEPEC,COATEPEC,27,11200,TEACHER,SWEET WATER,24,XALAPA-ENRIQUEZ,TEACHER,6200,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,MIGUEL ALEMAN,40,3500,EMPLOYEE,XALAPA-ENRIQUEZ,42,XALAPA-ENRIQUEZ,BUSINESSMAN,70000,PROFESSIONAL,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,MISANTLA,52,5000,BUSINESSMAN,TIGRILLES,42,XALAPA-ENRIQUEZ,BUSINESSMAN,5000,PROFESSIONAL,PREPARATORY,DAD
WATERFALL,ATZALAN,20,5490,ING. CIVIL,LIME,30,MARTINEZ DE LA TORRE,SINGER,3100,HIGH SCHOOL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,40,80000,EMPLOYEE,FEDERAL DISTRICT,38,CUERNAVACA,HOME DUTIES,14000,PROFESSIONAL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,32,10000,EMPLOYEE,XALAPA-ENRIQUEZ,25,XALAPA-ENRIQUEZ,HOUSEWIFE,19500,PROFESSIONAL,PROFESSIONAL,OTHER
VILLAFLORES,GALLERIES BUENOS AIRES,28,2300,ENPLEADO,PIJIJIAPAN,22,TEMPOAL,ADVISOR,18188,PROFESSIONAL,PREPARATORY,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,45,10000,ARCHITECT,XALAPA-ENRIQUEZ,43,XALAPA-ENRIQUEZ,TEACHER,8000,PROFESSIONAL,PROFESSIONAL,MOTHER
TUXTEPEC,BUT,38,412362,ELECTRICAL TECHNICIAN,TLALPAN,54,TEMPOAL,HOUSEWIFE,5100,OTHER,HIGH SCHOOL,DAD
WHITE LAND,TEPETATE,52,100000,SALARIED,TOLPITEPEC,19,EL CARMEN,ING. CHEMICAL,12800,PROFESSIONAL,PRIMARY,OTHER
ECATEPEC,VARGAS,34,6800,OPERATOR,THE WOODEN COMB,72,OAXACA,PAINTER,10,PRIMARY,PROFESSIONAL,MOTHER
THE CONCEPTION,XALAPA - ENRIQUEZ,69,24000,EMPLOYEE,FEDERAL DISTRICT,65,XALAPA-ENRIQUEZ,HOUSEWIFE,10500,HIGH SCHOOL,HIGH SCHOOL,MOTHER
TOLUCA,THE JICARO,22,3516,SALES MANAGER,TABACHIN,28,ACAPULCO,ING. IN COMPUTER SYSTEMS,14000,PROFESSIONAL,WITHOUT SCHOOLING,MOTHER
MAZATLAN,WELS,47,5150,MARKETER,COATZINTLA,46,COATZINTLA,EXECUTIVE ASSISTANT,19500,PREPARATORY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,CINTALAPA,74,750000,FRAME,ALTOTONGA,48,XALAPA-ENRIQUEZ,HOUSEWIFE,708652,PRIMARY,PRIMARY,MOTHER
ALTOTONGA,BONNET,26,3000,BARBER,REYNOSA,21,BEAUTIFUL,PHOTOGRAPHER,2200,PREPARATORY,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,48,3000,TAILOR,CORDOVA,48,XALAPA-ENRIQUEZ,HOUSEWIFE,8800,PRIMARY,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,VERACRUZ,24,24000,STUDENT,XALAPA-ENRIQUEZ,23,XALAPA-ENRIQUEZ,STUDENT,5700,PROFESSIONAL,PROFESSIONAL,OTHER
MIGUEL HIDALGO,RIVER PLAN,77,45000,DENTIST,SPINAL,51,TAPACHULA,PUERICULTUR,8600,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,CHICONTEPEC,30,20000,EMPLOYEE,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PREPARATORY,PREPARATORY,MOTHER
LONG BEACH,TEAPAN,54,900,STEVEDORE,STREAM PLAN,28,ACTOPAN,PUBLISHER,6647,OTHER,PREPARATORY,MOTHER
LONG STEP,ORIZABA,23,700,EMPLOYEE,VERACRUZ,23,LONG STEP,HOUSEWIFE,1750,WITHOUT SCHOOLING,PRIMARY,OTHER
THE LINGERIE,TECOLAPAN,32,24000,ADVERTISING,CORDOVA,40,MARIANO ESCOBEDO,SEAMSTRESS,19000,WITHOUT SCHOOLING,WITHOUT SCHOOLING,OTHER
THE IDOLS,BALZAPOTE CONGREGATION,63,24000,LABORER,THE ESTANZUELA,67,WATER SAW,CLINICAL CHEMICAL,1750,PRIMARY,PREPARATORY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,23,1500,EMPLOYEE,XALAPA-ENRIQUEZ,23,XALAPA-ENRIQUEZ,HOUSEWIFE,9800,HIGH SCHOOL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,COATEPEC,45,5000,EMPLOYEE,XALAPA-ENRIQUEZ,46,XALAPA-ENRIQUEZ,EMPLOYEE,8000,PREPARATORY,PREPARATORY,MOTHER
GUANAJUATO,THE BOY,68,19000,REPORTER,ORANGE TASAJERA,23,VILLA JUANITA,RESEARCHER,8500,WITHOUT SCHOOLING,OTHER,DAD
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,36,5000,DRIVER,XALAPA-ENRIQUEZ,29,XALAPA-ENRIQUEZ,HOUSEWIFE,2800,PREPARATORY,PREPARATORY,OTHER
CARMEN,MIRAFLORES,30,1600,STEVEDORE,TEPETLAN,56,EJIDO LOS ROBLES,EXECUTIVE ASSISTANT,7648,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,PAPANTLA,33,2400,EMPLOYEE,COATEPEC,36,XALAPA-ENRIQUEZ,HOUSEWIFE,1070,PREPARATORY,HIGH SCHOOL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,40,4000,EMPLOYEE,TACOTALPA,37,XALAPA-ENRIQUEZ,EMPLOYEE,3000,HIGH SCHOOL,HIGH SCHOOL,MOTHER
PALMA SOLA,COSAMALOAPAN,24,24000,BIOLOGIST,CHAFF,42,CARMEN BEACH,POCKET,4769,HIGH SCHOOL,PREPARATORY,MOTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,39,41000,DRIVER,XALAPA-ENRIQUEZ,34,XALAPA-ENRIQUEZ,EMPLOYEE,3200,HIGH SCHOOL,PREPARATORY,DAD
REEDBED,GALEANA,60,9000,FOUNDER,NEW PARANGARICUTIRO,47,COLIMA,DOCTOR,18000,PROFESSIONAL,PROFESSIONAL,MOTHER
OMEALCA,TUZAMAPAN,32,35000,JEWELER,CUAUHTEMOC,29,CARMEN BEACH,BANK CLERK,5200,PREPARATORY,OTHER,DAD
FEDERAL DISTRICT,FEDERAL DISTRICT,37,9300,ADMINISTRATIVE,DOXEY,42,THE OLD ONE,MUNICIPAL JUDGE,1400,PROFESSIONAL,PREPARATORY,DAD
CHETULAM,VILLA RICA,28,9600,ANNOUNCER,PORTLAND,58,SANTIAGO TUXTLA,LIC. IN COMMUNICATION,9600,PRIMARY,PROFESSIONAL,DAD
DAWN,MANUEL GUTI√âRREZ ZAMORA,62,13400,UNEMPLOYED,XALAPAEL MODEL,55,THE MARQUES,HOUSEWIFE,3800,HIGH SCHOOL,PREPARATORY,OTHER
LONG STEP,XALAPA - ENRIQUEZ,65,15600,COMMUNICOLOGIST,SAO PAULO,32,SALTILLO,COMMUNICOLOGY,7300,OTHER,PREPARATORY,MOTHER
TEZIUTLAN,ACATZINGO,55,6063.48,INSTRUCTOR,SAN JUAN TEOTIHUACAN,61,VILLA RICA,ENGINEER,2320,WITHOUT SCHOOLING,HIGH SCHOOL,OTHER
NAUCALPAN,TEPEYAHUALCO,49,18000,FRAME,GDANSK,81,COLIMA,STYLIST,4200,HIGH SCHOOL,WITHOUT SCHOOLING,OTHER
COATZACOALCOS,HIGH OF THE CHALK,83,800,MARINE MERCHANT,PARIS,20,TLALNEPANTLA,BANK CLERK,7648,WITHOUT SCHOOLING,HIGH SCHOOL,MOTHER
XALAPA-ENRIQUEZ,MANAGUA,65,15000,BUSINESSMAN,MINATITLAN,56,XALAPA-ENRIQUEZ,DOCTOR,22000,PREPARATORY,PROFESSIONAL,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,31,5000,PSYCHOLOGIST,QUERETARO,21,XALAPA-ENRIQUEZ,STUDENT,3000,PROFESSIONAL,PREPARATORY,DAD
CEMPOALA,XOCHIAPULCO,58,5900,LIC. IN RIGHT,CAMARGO CITY,23,IXTACZOQUITLAN,PAINTER,3800,PREPARATORY,PRIMARY,DAD
XALAPA-ENRIQUEZ,FEDERAL DISTRICT,35,20000,MUSICIAN,XALAPA-ENRIQUEZ,36,XALAPA-ENRIQUEZ,MUSICIAN,20000,PROFESSIONAL,PROFESSIONAL,MOTHER
XALAPA-ENRIQUEZ,TLALNEPANTLA,53,4000,EMPLOYEE,MEXICO,50,XALAPA-ENRIQUEZ,EMPLOYEE,4500,PROFESSIONAL,PROFESSIONAL,MOTHER
ANTON LIZARDO,ATEMPAN,41,7200,PHILHARMONIC,LONG BIRD,17,TRONCONAL,RADIO PRODUCER,800,PROFESSIONAL,PRIMARY,MOTHER
XALAPA-ENRIQUEZ,ORIZABA,53,5000,EMPLOYEE,XALAPA-ENRIQUEZ,45,XALAPA-ENRIQUEZ,EMPLOYEE,5000,PREPARATORY,PREPARATORY,MOTHER
NEW SAN SALVADOR,PUEBLA,24,3000,CRAFTSMAN,NAOLINCO,26,XALAPA-ENRIQUEZ,HOME DUTIES,6500,PRIMARY,PRIMARY,OTHER
XALAPA-ENRIQUEZ,XALAPA - ENRIQUEZ,42,5000,EMPLOYEE,XALAPA-ENRIQUEZ,41,XALAPA-ENRIQUEZ,BUSINESSWOMAN,5000,PROFESSIONAL,PROFESSIONAL,MOTHER
ALVARO OBREGON,FRANCISCO SARABIA,49,3400,SHOOTING GUARD,PLAIN OF THE MOON,74,THE SALMORAL,PUBLISHER,18000,PROFESSIONAL,WITHOUT SCHOOLING,OTHER
